Movie_Name,Director,Year,Jump_Count,Jump_Scare_Rating,On_Netflix_US,IMDB_Rating
The Good Neighbor,Kasra Farahani,2016,7,2,Yes,6.3
The Last Exorcism,Daniel Stamm,2010,7,2,No,5.6
The Rite,Mikael Håfström,2011,7,2,Yes,6
The Thing,John Carpenter,1982,7,2,No,8.2
Truth or Dare,Jeff Wadlow,2018,7,2,No,4.8
Deep Red,Dario Argento,1975,7,1.5,No,7.7
Little Evil,Eli Craig,2017,7,1.5,Yes,5.8
Prometheus,Ridley Scott,2012,7,1.5,No,7
Silent Hill,Christophe Gans,2006,7,1.5,No,6.6
House of 1000 Corpses,Rob Zombie,2003,6,2.5,No,6
The Tunnel,Carlo Ledesma,2011,6,2.5,No,5.9
Trick 'r Treat,Michael Dougherty,2007,6,2.5,No,6.8
Alien: Covenant,Ridley Scott,2017,6,2,No,6.7
Creep 2,Patrick Brice,2017,6,2,Yes,6.3
Interview With the Vampire,Neil Jordan,1994,6,2,No,7.6
Jennifer's Body,Karyn Kusama,2009,6,2,No,5.1
Red Dragon,Brett Ratner,2002,6,2,No,7.2
A Cure for Wellness,Gore Verbinski,2016,6,1.5,No,6.5
Death Note,Adam Wingard,2017,6,1.5,Yes,4.6
Hellboy,Guillermo del Toro,2004,6,1.5,No,6.8
Pan's Labyrinth,Guillermo del Toro,2006,6,1.5,No,8.2
Patient Zero,Stefan Ruzowitzky,2018,6,1.5,No,4.3
Saw IV,Darren Lynn Bousman,2007,6,1.5,No,5.9
Sleepaway Camp,Robert Hiltzik,1983,6,1.5,No,6.3
Sunshine,Danny Boyle,2007,6,1.5,No,7.3
Suspiria,Dario Argento,1977,6,1.5,No,7.5
The Jacket,John Maybury,2005,6,1.5,No,7.1
The Orphanage,J.A. Bayona,2007,6,1.5,No,7.5
The Predator,Shane Black,2018,6,1.5,No,5.6
Unfriended: Dark Web,Stephen Susco,2018,6,1.5,No,5.5
Victor Frankenstein,Paul McGuigan,2015,6,1.5,No,6
Unfriended,Leo Gabriadze,2014,5,3,No,5.8
Marrowbone,Sergio G. Sánchez,2017,5,2.5,No,6.6
Cell,Tod Williams,2016,5,2,No,4.3
Hellraiser,Clive Barker,1987,5,2,No,7.1
Holidays,Various Directors,2016,5,2,Yes,5.1
It Follows,David Robert Mitchell,2014,5,2,No,6.9
Jurassic World,Colin Trevorrow,2015,5,2,No,7
Ring (Ringu),Hideo Nakata,1998,5,2,No,7.3
Saw,James Wan,2004,5,2,No,7.7
The Eye,"Danny Pang, Oxide Chun Pang",2002,5,2,No,6.7
When a Stranger Calls,Fred Walton,1979,5,2,No,6.6
Apostle,Gareth Evans,2018,5,1.5,Yes,6.6
Final Destination 5,Steven Quale,2011,5,1.5,No,5.9
It Comes at Night,Trey Edward Shults,2017,5,1.5,No,6.8
Mandy,Panos Cosmatos,2018,5,1.5,No,6.9
Mom and Dad,Brian Taylor,2017,5,1.5,No,5.7
Saw III,Darren Lynn Bousman,2006,5,1.5,No,6.2
The Gift,Joel Edgerton,2015,5,1.5,No,7.1
The Guest,Adam Wingard,2014,5,1.5,No,6.7
Anna,Jorge Dorado,2013,5,1,No,6.5
Final Destination 3,James Wong,2006,5,1,Yes,5.8
Saw II,Darren Lynn Bousman,2005,5,1,No,6.6
Saw V,David Hackl,2008,5,1,No,5.8
The House on Pine Street,"Aaron Keeling, Austin Keeling",2015,5,1,No,5.3
The Invitation,Karyn Kusama,2015,5,1,Yes,6.6
The Mist,Frank Darabont,2007,5,1,No,7.2
Triangle,Christopher Smith,2009,5,1,No,6.9
Jaws,Steven Spielberg,1975,4,2.5,No,8.1
Final Destination,James Wong,2000,4,2,Yes,6.7
The Canal,Ivan Kavanagh,2014,4,2,No,5.9
The Others,Alejandro Amenábar,2001,4,2,No,7.6
Annihilation,Alex Garland,2018,4,1.5,Yes,7.8
Black Christmas,Bob Clark,1974,4,1.5,No,7.2
Cape Fear,Martin Scorsese,1991,4,1.5,No,7.3
Devil,John Erick Dowdle,2010,4,1.5,No,6.3
Escape Room,Adam Robitel,2019,4,1.5,No,6.3
Hidden,"Matt Duffer, Ross Duffer",2015,4,1.5,No,6.4
The Devil's Backbone,Guillermo del Toro,2001,4,1.5,No,7.5
The Human Centipede (First Sequence),Tom Six,2009,4,1.5,No,4.4
The Witch,Robert Eggers,2015,4,1.5,Yes,6.8
Wildling,Fritz Böhm,2018,4,1.5,No,6.1
Carrie,Kimberly Peirce,2013,4,1,No,5.9
Cujo,Lewis Teague,1983,4,1,No,6
Dracula Untold,Gary Shore,2014,4,1,No,6.3
Inside,"Alexandre Bustillo, Julien Maury",2007,4,1,No,6.9
Intruders,Adam Schindler,2015,4,1,No,5.7
Invasion of the Body Snatchers,Philip Kaufman,1978,4,1,No,7.4
Jacob's Ladder,Adrian Lyne,1990,4,1,No,7.5
Noroi: The Curse,Kôji Shiraishi,2005,4,1,No,7
Ravenous,Antonia Bird,1999,4,1,No,7.1
Re-Animator,Stuart Gordon,1985,4,1,No,7.3
Sphere,Barry Levinson,1998,4,1,No,6
The 9th Life of Louis Drax,Alexandre Aja,2016,4,1,No,6.3
The Butterfly Effect,"Eric Bress, J. Mackye Gruber",2004,4,1,No,7.7
The Craft,Andrew Fleming,1996,4,1,No,6.3
The Final Destination,David R. Ellis,2009,4,1,No,5.2
The Green Inferno,Eli Roth,2013,4,1,No,5.7
The House of the Devil,Ti West,2009,4,1,No,6.4
The Mothman Prophecies,Mark Pellington,2002,4,1,No,6.5
The Village,M. Night Shyamalan,2004,4,1,No,6.5
The Wailing,Na Hong-jin,2016,4,1,Yes,7.5
Train to Busan,Sang-ho Yeon,2016,4,1,Yes,7.5
Backcountry,Adam MacDonald,2014,4,0.5,Yes,6
Bird Box,Susanne Bier,2018,4,0.5,Yes,6.8
I Am the Pretty Thing,Oz Perkins,2016,4,0.5,Yes,4.7
That Lives in the House,,,,,,
Maggie,Henry Hobson,2015,4,0.5,No,5.6
Personal Shopper,Olivier Assayas,2016,4,0.5,No,6.2
The Innocents,Jack Clayton,1961,4,0.5,No,7.9
The Last House on the Left,Dennis Iliadis,2009,4,0.5,No,6.6
The Wicker Man,Robin Hardy,1973,4,0.5,No,7.6
A Ghost Story,David Lowery,2017,3,1,No,7
Dead Alive,Peter Jackson,1992,3,1,No,7.6
Donnie Darko,Richard Kelly,2001,3,1,No,8.1
Eden Lake,James Watkins,2008,3,1,No,6.8
Final Destination 2,David R. Ellis,2003,3,1,Yes,6.2
I Am Not a Serial Killer,Billy O’Brien,2016,3,1,No,6.2
Ma,Tate Taylor,2019,3,1,No,5.7
Malice,Harold Becker,1993,3,1,No,6.4
Midsommar,Ari Aster,2019,3,1,No,7.4
Raw,Julia Ducournau,2016,3,1,Yes,7.1
Regression,Alejandro Amenábar,2015,3,1,No,5.7
The Girl with All the Gifts,Colm McCarthy,2016,3,1,No,6.8
The Haunting,Robert Wise,1963,3,1,No,7.6
The Neighbor,Marcus Dunstan,2016,3,1,No,5.8
Would You Rather,David Guy Levy,2012,3,1,Yes,5.8
Arrival,Denis Villeneuve,2016,3,0.5,No,7.3
Emelie,Michael Thelin,2015,3,0.5,Yes,5.4
Gerald's Game,Mike Flanagan,2017,3,0.5,Yes,7.1
Honeymoon,Leigh Janiak,2014,3,0.5,No,5.6
Horns,Alexandre Aja,2013,3,0.5,No,6.5
Let Me In,Matt Reeves,2010,3,0.5,No,7.2
Misery,Rob Reiner,1990,3,0.5,No,7.8
Morgan,Luke Scott,2016,3,0.5,No,5.9
Split,M. Night Shyamalan,2016,3,0.5,No,7.3
The Blackcoat's Daughter,Osgood Perkins,2015,3,0.5,No,5.3
The Hole,Nick Hamm,2001,3,0.5,No,6.2
The Killing of a Sacred Deer,Yorgos Lanthimos,2017,3,0.5,No,7.6
The Number 23,Joel Schumacher,2007,3,0.5,No,6.4
The Shining,Stanley Kubrick,1980,3,0.5,Yes,8.4
The Voices,Marjane Satrapi,2014,3,0.5,No,6.3
Thesis (Tesis),Alejandro Amenábar,1996,3,0.5,No,7.5
Timecrimes,Nacho Vigalondo,2007,3,0.5,No,7.2
